,company_name,job_summary,job_title,City,State
0,Progrexion,"The Senior Data Scientist is responsible for data exploration, data preparation, delivering and operationalizing machine learning models.",Sr Data Scientist,Salt Lake City, UT
1,Progrexion Holdings Inc,"The Senior Data Scientist is responsible for data exploration, data preparation, delivering and operationalizing machine learning models.",Sr Data Scientist,Salt Lake City, UT
2,Snap Finance,"We are seeking a dedicated, full-time Data Scientist that has a passion for statistics, machine learning and solving real-world problems.",Senior Data Scientist,West Valley City, UT
3,The Church of Jesus Christ of Latter-day Saints,"Minimum 8 years performing in a Data Scientist or related role.Data Analytics, Data Science or AI/Machine Learning Certification Preferred.","Audience Data Analytics, Sr",Salt Lake City, UT
4,Ancestry,"Ancestry is looking for a highly motivated Data Scientist – Computer Vision, Intern to join our Data Science and Governance – Computer Vision team.","Data Science – Computer Vision, Intern",Lehi, UT
5,Shape Security,"Strong analytical skills including the ability to manipulate, model, interpret and visualize large quantities of structured data, using tools such as Jupyter…","Data Scientist, Analytics & Tooling - Draper, UT",Draper, UT
6,Northrop Grumman,Interpret large amounts of data with advanced approaches using sophisticated analytical and data visualization software or tools to discover patterns of the…,Sr. Principal Systems Engineer - Data Scientist,Hill AFB, UT
7,Progressive Leasing,Experience with data exploration and machine learning tools such as those found in R or Python.Explore new data sources both internal and external to…,Data Scientist,Draper, UT
8,University of Utah,"Extract data from unstructured data source (text mining).Effectively drive through professional differences and data assumptions to ensure productive outcomes,…",Data Scientist,Salt Lake City, UT
9,jane.com,"Participating in data and data pipeline creation and improvements needed for data science/ml projects.Airflow + Python, Refactoring SSIS, AWS Lambda, Segment …",Sr. Data Scientist,Lehi, UT
10,3M,"Collaborate with other team members (data scientists and data engineers) on data analysis workflow, data pipelines, analysis techniques, and opportunities for…","3M HIS Advanced Data Scientist (Murray, UT / St. Paul, MN/Pittsburgh, PA)",Murray, UT
11,Central Logic,"Expertise in healthcare data, e.g. medical and pharmacy claims, EMR/clinical data, lab data, Hl7 Data, etc. is a plus.Python, Tableau, Spark or H2O:",Data Scientist,South Jordan, UT
12,Zions Bancorporation,Zions Bancorporation is currently looking for an experienced Data Scientist to join our Enterprise Data Science team.Designing and building analytical models.,Senior Data Scientist,Salt Lake City, UT
13,DIVVY,The Data Scientist Analytics role has work across the following four areas:Influencing product feature roadmap with data.,Principal Machine Learning Engineer (Data Science),Lehi, UT
14,Ancestry,"We’re looking for a Data Scientist to join and help develop this exciting team.We are growing our Data Science team in Lehi, UT.Experience with SPARK and SQL.",Data Scientist (NLP),Lehi, UT
15,Progressive Leasing,3+ years work experience with data exploration and machine learning tools such as those found in R or Python.Demonstrated ability applying advanced statistical…,Senior Data Scientist,Draper, UT
16,The Church of Jesus Christ of Latter-day Saints,The Data Scientist will work with both structured and unstructured data (on-line and off-line data) from multiple sources and will provide strategic data models…,"Data Scientist Sr. - Welfare and Self Reliance Services, SLC, UT",Salt Lake City, UT
17,Synoptic Data,Other tasks may include enhancing the data API for geospatial scientific data or to design and develop applications to facilitate large data acquisition and…,Applied Backend Data Scientist,Salt Lake City, UT
18,Wells Fargo,Data Management and Insights (DMI) is transforming the way that Wells Fargo uses and manages data.3+ years of Python experience.It all begins with you.,Senior NLP Data Scientist / Analytic Consultant 5,Salt Lake City, UT
19,Inside Real Estate,We are looking for an experienced Data Scientist to establish the foundation of our Data Science group.We have billions of data points of interactions between…,Data Scientist,Draper, UT
20,Northrop Grumman,Interpret large amounts of data with advanced approaches using sophisticated analytical and data visualization software or tools to discover patterns of the…,Systems Engineer - Data Scientist,Hill AFB, UT
21,Aktify,"About the Senior Data Scientist Position:Expert with data lake design, data modeling and massive data sets.Experienced with Python, Scala, or Java.",Sr Data Scientist,Draper, UT
22,Amadeus IT Group SA,We are looking for a data scientist that will help us discover the information hidden in vast amounts of data and help us make smarter decisions to deliver even…,Navitaire-AI/ML Engineer,Salt Lake City, UT
23,SpotX,Join SpotX as a Data Scientist Intern.Use big data skills to bring high volumes of data and data modeling together.How you'll make an immediate impact:,Data Scientist Intern,Salt Lake City, UT
24,Collective Medical,"Preparing big data, implementing data models and developing database infrastructure to support predictive modeling business solutions.Find out more about us:",Associate Machine Learning Data Scientist,Cottonwood Heights, UT
25,SpotX,Join SpotX as a Data Scientist.Use big data skills to bring high volumes of data and data modeling together.Expertise in Machine Learning and data science.,Data Scientist,Salt Lake City, UT
26,Zions Bancorporation,Senior Data Scientist ( Job Number:Zions Bancorporation is currently looking for an experienced Data Scientist to join our Enterprise Data Science team.,Senior Data Scientist,Salt Lake City, UT
27,"Amazon Web Services, Inc.","Work with our Professional Services Big Data consultants to analyze, extract, normalize, and label relevant data.Experience in writing and tuning SQL.",Data Scientist - Nationwide Opportunities,Salt Lake City, UT
28,Overstock,Minimum of three years of industry experience as a machine learning scientist or a data scientist.Experience with big data technologies such as Hadoop/Spark.,Senior Machine Learning Scientist,Midvale, UT
29,"BioFire Diagnostics, LLC.","R, Python, C#, or Java.Knowledge of basic statistics, data visualization techniques, databases (SQL), and machine learning.The ideal candidate will have:",Associate Data Scientist I/II,Salt Lake City, UT
30,Overstock.com Inc.,Minimum of three years of industry experience as a machine learning scientist or a data scientist.Experience with big data technologies such as Hadoop/Spark.,Senior Machine Learning Scientist,Midvale, UT
31,Adobe,"3+ years of experience in Data Science role , with a focus on building data pipelines for conducting data intensive analysis.",ENGINEERING ARCHITECT – Data Engineer,Lehi, UT
32,3M,"Collaborate with other team members (data scientists and data engineers) on data analysis workflow, data pipelines, analysis techniques, and opportunities for…","3M HIS Advanced Data Scientist (Murray, UT / St. Paul, MN/Pittsburgh, PA)",Murray, UT
33,"Domo, Inc.","As a Data Scientist at Domo, you will help implement the applicable big data systems and help create and implement algorithms in relevant statistical inference.",Data Scientist,American Fork, UT
