,company_name,job_summary,job_title,City,State
0,ABB,"The Energy Market Data Analyst role supports multiple products in the Enterprise Software group, providing data and insights to a broad spectrum of clients.",Energy Market Data Analyst,Broomfield, CO
1,DISH,We are seeking a Data Analyst for the Data Governance team.Work with data warehouse teams to improve Sling's data quality and resolve data issues.,Data Governance Analyst,Englewood, CO
2,Expedite LLC,3+ years of Proven experience as a Data Scientist or Data Analyst.Data mining using state-of-the-art methods.Job Title: Data Scientist|| Machine learning.,Data Scientist|| Machine Learning,Broomfield, CO
3,DaVita,"In addition to receiving and transforming data received from external partners, the Data Analyst will support the data analytics team by creating, implementing…",Data Analyst IKC,Denver, CO
4,Occam Solutions,"Build data solutions, tools, and capabilities to enable self-service frameworks for data consumers to monitor and report on data.",Data Analyst with TS SCI Clearance - Colorado Springs CO,Colorado Springs, CO
5,Sunrun,"3+ years of Business Intelligence Analyst, Business Analyst, or other technical Data Analyst experience.Data visualization and report design utilizing data…",Business Intelligence Analyst - Field Service,Denver, CO
6,Halfaker and Associates,"Build data solutions, tools, and capabilities to enable self-service frameworks for data consumers to monitor and report on data.",Senior Data Analyst,Colorado Springs, CO
7,Ria Financial,"Collaborate with business stakeholders on development / improvement of data collection tools, data warehousing, and regular reporting.",Data Analyst,Denver, CO
8,One Touch Intelligence (OTI),"Data Analysis: Utilize tools such as Excel, Python, and SQL to perform data analysis on existing data sets.Data Verification: Act as a critical member of the…",Junior Data Analyst,Greenwood Village, CO
9,DaVita,"Legal Operations Analyst - Denver, CO.Analyst will support the legal department’s operation activities related to monthly reporting, data analytics, process…",Data Analyst - Denver,Denver, CO
10,Comcast,Experience with Python and R preferred.Skills managing/manipulating large quantities of data.Provides a variety of financial data; maintains and updates…,"Financial Data Analyst (Centennial, CO)",Centennial, CO
11,Bank of America,"5-7 years of experience with information security, data analysis or application development.Hands-on technical abilities: Strong network knowledge (especially…",Data Analyst Research and Innovation,Denver, CO
12,Xilinx,The ideal candidate will be passionate about using data to answer challenging questions and meticulous about data integrity.,Data Analyst Intern,Longmont, CO
13,"Edison Software, Inc.","Desire to learn data modeling technologies (python, spark) and build on statistical knowledge.As part of the client-focused function on the data team, you will…",Data Analyst,Denver, CO
14,University of Colorado,"Two (2) years of professional level experience with healthcare data (such as data profiling, data quality, data analysis/reporting).",Health Data Analyst/BI Developer,Aurora, CO
15,Bank of America,"5-7 years of experience with information security, data analysis or application development.Hands-on technical abilities: Strong network knowledge (especially…",Research and Innovation Data Analyst,Denver, CO
16,IHS Markit,We are looking for an experienced Data Analyst who can turn project requirements into custom-formatted data.Demonstrated understanding of financial markets and…,Technical Data Analyst,Boulder, CO
17,Scout Clean Energy,"3+ years of data analysis, model development, and data reporting.Scout Clean Energy is seeking a Data Analyst to optimize the profitability of Scout’s…",Data Analyst,Boulder, CO
18,CirrusMD,A data analyst with 2-5 years experience who thrives in deriving insight out of complex data.Build and maintain clean data models allowing business users to…,Data Analyst,Denver, CO
19,"Frontier Airlines, Inc",3 to 5 years of experience as a data analyst or business data analyst.As part of the Marketing Analytics team – the Analyst will be responsible for…,Ancillary Products Analyst,Denver, CO
20,"Frontier Airlines, Inc","The Analyst will be responsible for building data pipelines & coding automated reporting processes, creating data visualizations and dashboards, identifying and…",Senior Data Analyst - Revenue Analytics,Denver, CO
21,xentity corporation,"Could pass ad-hoc technical and whiteboard test given various data ETL and other patterns of real-time, large data, data cleanup, etc. scenarios.",Data Analyst,Denver, CO
22,T. Rowe Price,"Finally, ensuring robust data quality mechanisms are in place will be a top priority of the Data Analyst.Once the Data Analyst has established the team’s new…",Data Analyst,Colorado Springs, CO
23,CenturyLink,"Python and/or R data script writing.Bachelor’s degree in Data Science/Analytics with an emphasis in Accounting, Finance, or related field.",Senior Tax Data Analyst,Broomfield, CO
24,S&P Global Ratings,"Quality test data using internal tools and data sources, resolve data defects.The Role: Global Ratings Data Office is seeking a Data Researcher to join the…",Data Researcher,Centennial, CO
25,S&P Global,"Quality test data using internal tools and data sources, resolve data defects.Global Ratings Data Office is seeking a Sr. Data Researcher to join the Default…",Sr. Data Researcher,Centennial, CO
26,Alterra Mountain Company,The Data Analyst will be an expert in management and querying of large data sets to drive business decisions.Experience building queries manipulating data with…,Marketing Data Analyst,Denver, CO
