,company_name,job_summary,job_title,City,State
0,Jobot,"If you are an Infrastructure & Data Engineer, then please read on….Experience with data wrangling libraries (Pandas, Numpy).What can we do for you?","REMOTE Infrastructure & Data Engineer - Python/Go, Docker, Kubernetes, Kafka",Denver, CO
1,Digital First Media,"Build, monitor, and maintain data ETL pipelines and SQL scripts used to populate data warehouse.Implement systems that validate data, ensure quality and…",Data Engineer,Denver, CO
2,Evercommerce,You are an experienced data engineer who has a strong background in project management and platform ownership.Fitness stipend and onsite gym.,Business Intelligence Engineer,Denver, CO
3,Charles Schwab,"Designing, building and support data processing pipelines to transform data in Big Data or Teradata platforms.Your detailed duties would include:",Data Engineer,Lone Tree, CO
4,WeatherFlow,"WeatherFlow is looking for an experienced weather data engineer to join our weather modeling team in Fort Collins, Colorado.Web and/or API programming skills.",Weather Data Engineer/Scientist,Fort Collins, CO
5,CapTech Consulting,"Specific responsibilities for the Data Engineer, Analytics position include:Specific qualifications for the Data Engineer, Analytics position include:",Data Engineer,Denver, CO
6,"Amazon Data Services, Inc.",The Business Intelligence Data Engineer will:As a Business Intelligence / Data Engineer you will enable data-driven decision making within the Amazon Web…,Business Intelligence / Data Engineer,Denver, CO
7,Guild Education,"In addition to working on the Business Intelligence team, in this role you will collaborate with other Guild leaders including: Noah Yetter ( https://www…","Senior Business Intelligence Analyst, Infrastructure",Denver, CO
8,Horizontal,"We’re mostly a python shop, so experience with python required.As a data engineer, your general responsibilities will include bolting together the core…",Python Data Engineer,Boulder, CO
9,Western Union,"Join Western Union as a Data Engineer!You code fluently in Python, Scala, or Java, and have mastery of SQL.You will provide technical data and system support…",Data Engineer,Denver, CO
10,"RE/MAX, LLC","Prototype data solutions to enable warehousing, event driven data capture, and data modeling.RE/MAX, LLC is looking for a Data Engineer to support data…",Data Engineer,Denver, CO
11,Arrow Electronics,"Arrow Electronics is currently seeking a Data Engineer to work in our Arrow Digital division at our global headquarters in Centennial, CO!",Data Engineer I,Centennial, CO
12,clickfox,"BryterCX is seeking a Data Engineer to work with our Denver, CO office.Experience with time series data, and/or data visualization and analytics is preferred.",Data Engineer,Greenwood Village, CO
13,Transamerica,"Partner with data scientists, analytics engagement managers, and other data engineers to discover, collect, cleanse, and refine the data needed for analysis and…",Data Engineer,Denver, CO
14,BryterCX,"BryterCX is seeking a Senior Data Engineer to work with our Denver, CO office.Experience with creating and consuming time series data, data visualization…",Sr. Data Engineer,Greenwood Village, CO
15,Horizontal,Prior experience extracting data disconnected data repositories.Must have a Data warehouse/Big Data background.3+ years experience Scala or Python.,DevOPs Data Engineer,Centennial, CO
16,Horizontal,Prior experience extracting data disconnected data repositories.Must have a Data warehouse/Big Data background.3+ years experience Scala or Python.,Sr. DevOps Data Engineer,Centennial, CO
17,Dignity Health - Corporate Service Center,"The supply chain data engineer builds and maintains the data pipelines that make data accessible to supply chain staff, our partners, and the larger…",Supply Chain Data Engineer,Englewood, CO
