company,title,job_title,job_summary,city,state,state1,region
"Universal Screen Arts, Inc.",Data Scientist,Marketing Manager - Print & Data Analytics,"Attentive to detail and high level of accuracy. Passionate about Customers, Colleagues, and Data? Analytical, Creative, Communication, and Leadership strengths…",Hudson,OH, Ohio,Midwest
Race Winning Brands,Data Analyst,Data Analyst,"Race Winning Brands is a leader in developing high performance racing engine components with record setting brands including Wiseco Pistons, K1 Crankshafts & JE…",Mentor,OH, Ohio,Midwest
LeafFilter Gutter Protection,Data Analyst,Human Resources Data Analyst - Contract,This is a highly collaborative role where you will be responsible for providing day to day coordination of all activities pertaining to human resource…,Hudson,OH, Ohio,Midwest
T-CETRA LLC,Data Analyst,Data Analyst Tier I,We're constantly developing new and creative ways to solve the industry’s most complex problems. Our enterprise software solutions run the gamut of Information…,Dublin,OH, Ohio,Midwest
Harley-Davidson,Data Analyst,Data Analyst,"Typically requires a minimum of 3 years of related experience. Minimum 3 years of experience maintaining processes related to data readiness, conversions,…",Valley View,OH, Ohio,Midwest
University Hospitals,Data Analyst,"Data Analyst II, Hudson OH","The Data Analyst II role is to develop, analyze and produce information for internal and external clients and have the ability to explain to recipients in a way…",Hudson,OH, Ohio,Midwest
Cuyahoga County Division of Children and Family Se...,Data Analyst,Data Analyst,"The purpose of this classification is to collect, process, and perform statistical analysis of data and produce related reports, charts, dashboards, and…",Cleveland,OH, Ohio,Midwest
Race Winning Brands,Data Analyst,Data Analyst,"Race Winning Brands is a leader in developing high performance racing engine components with record setting brands including Wiseco Pistons, K1 Crankshafts & JE…",Mentor,OH, Ohio,Midwest
Cleveland Clinic,Data Analyst,Data Analyst-Medical Records/Health Analytics,Provides operational and financial information to facilitate management decision making. Assists assigned department and leadership in obtaining information…,Cleveland,OH, Ohio,Midwest
Nestle USA,Data Analyst,HR Administration Data Analyst,"And a career that nourishes your future like no other. At Nestlé USA, we are committed to providing high quality products that are essential to living well.",Solon,OH, Ohio,Midwest
Direct Auto Insurance,Data Analyst,"Data Analyst I, II, III","Responsible for contributing to the development of analytics and business insights spanning direct-to-consumer operations, including Sales, Marketing, Product,…",Cleveland,OH, Ohio,Midwest
Progressive,Data Analyst,Data Analyst,This opportunity is part of the Claims Control Field Staffing and Efficiency Team. As a data analyst on our team you will be responsible for organizing and…,Mayfield Heights,OH, Ohio,Midwest
Nestle USA,Data Analyst,HR Administration Data Analyst,"And a career that nourishes your future like no other. At Nestlé USA, we are committed to providing high quality products that are essential to living well.",Solon,OH, Ohio,Midwest
Reynolds and Reynolds,Data Analyst,Entry Level Business Analyst,Reynolds and Reynolds is an industry leader in developingsoftware and business forms for the automotive industry. Analysis and problem solving skills.,Dayton,OH, Ohio,Midwest
Procter & Gamble,Data Analyst,Data Analyst,Do you love diving into data sets? Would you enjoy telling stories and helping others see the benefit of data based decision-making? We want you to know:,Cincinnati,OH, Ohio,Midwest
First Notch Technology,Data Analyst,Jr. Business Analyst,"As a Business Analyst based in Halifax you are responsible for conducting needs assessments, configuring applications, integrating third party apps, building…",Dayton,OH, Ohio,Midwest
Numerator,Data Analyst,Data Analyst (Bilingual Spanish),"Attention to detail is a must. We are currently seeking an enthusiastic, detail-oriented individual to join our company as Data Specialist (bilingual Spanish).",Solon,OH, Ohio,Midwest
"Applied Medical Technology, Inc.",Data Analyst,IT Business Analyst,"This position primarily is to bridge the gap between Business and Information Tech. This position is responsible for implementing, maintaining and improving the…",Brecksville,OH, Ohio,Midwest
Sherwin-Williams,Data Analyst,IT Data Analyst Professional Apprentice®,"Strong analytical skills and attention to detail. Founded in 1866, The Sherwin-Williams Company is a global leader in the manufacture, development, distribution…",Cleveland,OH, Ohio,Midwest
