,company_name,title,job_title,job_summary,city,state,id_x,state1,region,id_y
0,"Universal Screen Arts, Inc.",Data Scientist,Marketing Manager - Print & Data Analytics,"Attentive to detail and high level of accuracy. Passionate about Customers, Colleagues, and Data? Analytical, Creative, Communication, and Leadership strengths…",Hudson,OH,1, Ohio,Midwest,23
1,Race Winning Brands,Data Analyst,Data Analyst,"Race Winning Brands is a leader in developing high performance racing engine components with record setting brands including Wiseco Pistons, K1 Crankshafts & JE…",Mentor,OH,2, Ohio,Midwest,23
2,LeafFilter Gutter Protection,Data Analyst,Human Resources Data Analyst - Contract,This is a highly collaborative role where you will be responsible for providing day to day coordination of all activities pertaining to human resource…,Hudson,OH,3, Ohio,Midwest,23
3,T-CETRA LLC,Data Analyst,Data Analyst Tier I,We're constantly developing new and creative ways to solve the industry’s most complex problems. Our enterprise software solutions run the gamut of Information…,Dublin,OH,4, Ohio,Midwest,23
4,Harley-Davidson,Data Analyst,Data Analyst,"Typically requires a minimum of 3 years of related experience. Minimum 3 years of experience maintaining processes related to data readiness, conversions,…",Valley View,OH,5, Ohio,Midwest,23
5,University Hospitals,Data Analyst,"Data Analyst II, Hudson OH","The Data Analyst II role is to develop, analyze and produce information for internal and external clients and have the ability to explain to recipients in a way…",Hudson,OH,6, Ohio,Midwest,23
6,Cuyahoga County Division of Children and Family Se...,Data Analyst,Data Analyst,"The purpose of this classification is to collect, process, and perform statistical analysis of data and produce related reports, charts, dashboards, and…",Cleveland,OH,7, Ohio,Midwest,23
7,Race Winning Brands,Data Analyst,Data Analyst,"Race Winning Brands is a leader in developing high performance racing engine components with record setting brands including Wiseco Pistons, K1 Crankshafts & JE…",Mentor,OH,8, Ohio,Midwest,23
8,Cleveland Clinic,Data Analyst,Data Analyst-Medical Records/Health Analytics,Provides operational and financial information to facilitate management decision making. Assists assigned department and leadership in obtaining information…,Cleveland,OH,9, Ohio,Midwest,23
9,Nestle USA,Data Analyst,HR Administration Data Analyst,"And a career that nourishes your future like no other. At Nestlé USA, we are committed to providing high quality products that are essential to living well.",Solon,OH,10, Ohio,Midwest,23
10,Direct Auto Insurance,Data Analyst,"Data Analyst I, II, III","Responsible for contributing to the development of analytics and business insights spanning direct-to-consumer operations, including Sales, Marketing, Product,…",Cleveland,OH,11, Ohio,Midwest,23
11,Progressive,Data Analyst,Data Analyst,This opportunity is part of the Claims Control Field Staffing and Efficiency Team. As a data analyst on our team you will be responsible for organizing and…,Mayfield Heights,OH,12, Ohio,Midwest,23
12,Nestle USA,Data Analyst,HR Administration Data Analyst,"And a career that nourishes your future like no other. At Nestlé USA, we are committed to providing high quality products that are essential to living well.",Solon,OH,13, Ohio,Midwest,23
13,Reynolds and Reynolds,Data Analyst,Entry Level Business Analyst,Reynolds and Reynolds is an industry leader in developingsoftware and business forms for the automotive industry. Analysis and problem solving skills.,Dayton,OH,14, Ohio,Midwest,23
14,Procter & Gamble,Data Analyst,Data Analyst,Do you love diving into data sets? Would you enjoy telling stories and helping others see the benefit of data based decision-making? We want you to know:,Cincinnati,OH,15, Ohio,Midwest,23
15,First Notch Technology,Data Analyst,Jr. Business Analyst,"As a Business Analyst based in Halifax you are responsible for conducting needs assessments, configuring applications, integrating third party apps, building…",Dayton,OH,16, Ohio,Midwest,23
16,Numerator,Data Analyst,Data Analyst (Bilingual Spanish),"Attention to detail is a must. We are currently seeking an enthusiastic, detail-oriented individual to join our company as Data Specialist (bilingual Spanish).",Solon,OH,17, Ohio,Midwest,23
17,"Applied Medical Technology, Inc.",Data Analyst,IT Business Analyst,"This position primarily is to bridge the gap between Business and Information Tech. This position is responsible for implementing, maintaining and improving the…",Brecksville,OH,18, Ohio,Midwest,23
18,Sherwin-Williams,Data Analyst,IT Data Analyst Professional Apprentice®,"Strong analytical skills and attention to detail. Founded in 1866, The Sherwin-Williams Company is a global leader in the manufacture, development, distribution…",Cleveland,OH,19, Ohio,Midwest,23
19,CoverMyMeds,Data Analyst,Data Analyst (all levels),"CoverMyMeds is hiring data analysts with all levels of experience! We are in search of driven, self-motivated team-players who will thrive in a constantly…",Columbus,OH,20, Ohio,Midwest,23
20,Root Insurance Company,Data Analyst,"Data Analyst, Pricing",Attention to detail and remarkable organizational skills. Our data science team makes sense of diverse datasets related to key business problems.,Columbus,OH,21, Ohio,Midwest,23
21,FlexJet,Data Analyst,Flight Data Analyst,Must possess passionate attention to detail and the ability to work in a team atmosphere. The Flight Data Analyst facilitates and supports the Flight Data…,Richmond Heights,OH,22, Ohio,Midwest,23
22,Imagine Software,Data Analyst,Financial Data Analyst,Are you a finance enthusiast with hands on programming experience and a desire to improve your coding skills? Act as front line support handling client requests…,Cleveland,OH,23, Ohio,Midwest,23
23,"RevSpring, Inc",Data Analyst,Insight/Data Analyst,"Demonstrated analytical skills with accuracy and thoroughness – must be extremely detail oriented. The Insights Analyst position will be based in the Newark,…",Newark,OH,24, Ohio,Midwest,23
